sa_11_code,ratio_sa_intersection_com
N00003676,0.6155428
N00003677,1
N00003678,1
N00003679,1
N00003680,1
N00003681,1
N00003682,1
N00003702,0.1079474
N00003734,0.9998124
N00003738,1
N00003735,1
N00003736,1
N00003737,0.914476
N00003739,1
N00003740,1
N00003741,1
N00003742,1
N00003748,0.0089382
N00003745,0.0296735
N00003746,0.7419615
N00003747,0.9486629
N00003749,0.9008507
N00003750,1
N00003751,0.999167
N00003752,0.1069598
N00003755,0.0042895
N00003756,0.8146803
N00003765,0.0179157
N00003768,0.9732227
N00003772,1
N00003773,1
N00003774,1
N00003775,1
N00003769,1
N00003770,1
N00003771,1
N00003780,1
N00003781,1
N00003776,1
N00003777,1
N00003778,1
N00003779,1
N00003782,0.5721882
N00003783,1
N00003786,0.5311587
N00003787,0.0820584
N00003788,0.4937432
N00003789,0.0160375
N00003863,1
N00003864,0.9167952
N00003865,1
N00003866,0.8483011
N00003867,0.4685473
N00003868,0.9948041
N00003869,0.8638495
N00003872,1
N00003873,0.5479817
N00003870,1
N00003871,0.9866178
N00003877,0.004702
N00003884,1
N00003885,1
N00003886,1
N00003881,1
N00003882,1
N00003883,1
